Date,VFINX,VBMFX,VIX.chg,VIX.ret,SPX_SMA,VFINX_SKW,VBMFX_SKW,VIX_SKW
1992/7/31,0.0404355,0.0191388,0.99,0.054395601,59.40453805,0.14726966,-0.361634426,1.61141306
1992/8/31,-0.0206776,0.00981,1.180001,0.074542072,42.44681727,0.2030451,-0.383035605,1.611590554
1992/9/30,0.0116948,0.0126195,1.36,0.084002465,42.07681018,0.234684578,-0.484301026,1.619356046
1992/10/31,0.003287,-0.0121958,2.219999,0.146148716,38.07227673,0.197648621,-0.537941917,1.608441585
1992/11/30,0.0340222,-0.0002316,0.66,0.031398668,49.12228482,0.083761358,-0.564753187,1.583006655
1992/12/31,0.0121166,0.01476,0.85,0.049047894,50.60499182,0.041653858,-0.561918155,1.754198421
1993/1/31,0.0080547,0.0178587,1.35,0.10546875,50.39408014,0.015373417,-0.574556896,1.960254629
1993/2/28,0.0135593,0.0196496,3.38,0.229619565,52.69593405,0.496661676,-0.62128538,2.004543087
1993/3/31,0.0210749,0.0036723,2.139999,0.134591132,59.34951527,0.608042103,-0.584245484,1.961525961
1993/4/30,-0.024241,0.0074481,1.89,0.116522819,41.52819241,0.584693255,-0.520172323,1.933571575
1993/5/31,0.0265316,0.0013919,1.2,0.078688525,51.03773514,0.653439108,-0.431423741,1.95276083
1993/6/30,0.0026738,0.0179881,1.21,0.08197832,48.46865991,0.723723212,-0.435493127,1.966992957
1993/7/31,-0.0042403,0.0060959,2.54,0.172320217,41.89633436,0.858039633,-0.38492947,1.880100344
1993/8/31,0.0378519,0.0168817,0.53,0.038211968,57.30453891,0.88347994,-0.447406935,1.836831742
1993/9/30,-0.0079443,0.004,2.699999,0.217917595,47.3363785,0.967141248,-0.418548074,1.647742904
1993/10/31,0.0207852,0.0030464,1.02,0.058959541,54.86318659,0.907725813,-0.352116576,1.676442725
1993/11/30,-0.0099548,-0.0096609,1.52,0.115677321,45.32997255,1.062203777,-0.338748294,1.713322552
1993/12/31,0.0122477,0.0048181,0.97,0.061006289,47.96501141,1.290645057,-0.37921952,1.705364822
1994/1/31,0.0337668,0.0138867,0.91,0.065798988,61.83047255,1.346740582,-0.383084341,1.706028005
1994/2/28,-0.0271463,-0.0178424,4.5,0.357995227,41.77500468,1.352073837,-0.457377128,1.758650951
1994/3/31,-0.0438838,-0.0229536,2.139999,0.13408515,13.98911177,1.133316792,-0.558531842,1.721979217
1994/4/30,0.0129001,-0.0082988,3.42,0.167237156,17.48769855,1.134743972,-0.438139568,1.711876285
1994/5/31,0.0160377,4.21E-05,1.08,0.045245076,23.53772532,1.25724998,-0.380579541,1.685819836
1994/6/30,-0.024468,-0.0018499,2.599999,0.160891027,6.873200909,-0.250316829,-0.546756639,1.562312894
1994/7/31,0.0327673,0.0184452,0.57,0.034090911,21.45906859,-0.363064262,-0.659504201,1.510331858
1994/8/31,0.0407596,0.0014196,0.97,0.065013405,40.29543336,-0.329857639,-0.617274199,1.512292986
1994/9/30,-0.0244602,-0.0144351,1.39,0.108339829,22.87089705,-0.334417091,-0.607115946,1.491427752
1994/10/31,0.0224668,-0.0006789,1.44,0.098901099,32.50316236,-0.334260138,-0.542470475,1.498683991
1994/11/30,-0.0365471,-0.001833,1.17,0.068945201,8.935888182,-0.308443864,-0.470711503,1.505491818
1994/12/31,0.0146138,0.0080437,1.869999,0.101575177,15.16865968,-0.415321678,-0.456417665,1.634455454
1995/1/31,0.025832,0.0189749,1.05,0.05785124,27.73865068,-0.469312291,-0.458448761,1.638735541
1995/2/28,0.0387931,0.021733,1.67,0.117192982,46.75093186,-0.564923207,-0.398843202,1.603820956
1995/3/31,0.0295342,0.0067479,2.05,0.163868905,60.67909968,-0.590318153,-0.372827478,1.477068062
1995/4/30,0.0294118,0.0131111,0.85,0.059774965,74.32362205,-0.653129779,-0.506650017,1.555537903
1995/5/31,0.0395445,0.0395273,0.95,0.07037037,94.08725786,-0.629405146,-0.020319961,1.621781731
1995/6/30,0.0231116,0.0065549,0.77,0.058644326,103.7768248,-0.657950957,0.030125573,1.637387537
1995/7/31,0.0330401,-0.0025482,0.81,0.060223048,119.4682013,-0.700798116,0.147627393,1.642989659
1995/8/31,0.0026495,0.0117503,1.39,0.103039288,114.4500065,-0.656438706,0.170649917,1.927078587
1995/9/30,0.0421149,0.0095015,0.76,0.055152395,136.260914,-0.629640528,0.127002271,1.990753228
1995/10/31,-0.003637,0.0146505,1.21,0.091527988,125.5818395,-0.67639978,0.083161975,2.028174431
1995/11/30,0.0438036,0.0143976,0.56,0.035578145,149.635914,-0.638890161,-0.003122905,1.970990983
1995/12/31,0.0193228,0.0143781,3.11,0.23191648,154.5845227,-0.702872215,0.005089529,1.661883682
1996/1/31,0.0338542,0.0062919,2.1,0.144329897,169.1650004,-0.814011949,0.00361559,1.729112106
1996/2/29,0.0092359,-0.0176158,1.599999,0.097560915,164.3491158,-0.769731942,0.057418542,1.760354315
1996/3/31,0.0097688,-0.0077016,4.210001,0.247065772,159.9545319,-0.847588507,0.114587056,1.719176201
1996/4/30,0.0145623,-0.004903,2.899999,0.140096563,158.7140675,-0.827406966,0.159089494,1.65066942
1996/5/31,0.0254445,-0.0017337,2.550001,0.126112815,166.8400015,-0.967581698,0.14034866,1.633224046
1996/6/30,0.0038291,0.0127443,1.519998,0.081632541,157.3518264,-0.92779184,0.089558588,1.642478049
1996/7/31,-0.0442042,0.0024871,3.15,0.168991425,107.1090695,-0.831852661,0.16209006,1.514203644
1996/8/31,0.0209616,-0.0016356,1.2,0.055684457,112.7649957,-0.995899194,0.225445903,0.859881771
1996/9/30,0.0560623,0.0170177,1.870001,0.099680224,145.5986054,-0.928716053,0.404637601,0.928760037
1996/10/31,0.0275584,0.0220825,1.049999,0.05119449,154.5681904,-0.977017625,0.292528164,1.080003692
1996/11/30,0.0756366,0.0175862,1.32,0.071428571,206.0727428,-0.607474372,0.174976079,1.10749219
1996/12/31,-0.0195853,-0.0085471,1.800001,0.09977832,170.0177498,-0.597123573,0.158493464,1.249849631
1997/1/31,0.0621657,0.0024695,1.379999,0.062755753,212.540444,-0.509983587,0.263820595,1.325263369
1997/2/28,0.0078944,0.0011417,1.75,0.082781461,202.8099758,-0.419985613,0.265308164,1.325836299
1997/3/31,-0.0413572,-0.0097441,2.18,0.101821579,145.24909,-0.525788703,0.344242413,1.339819438
1997/4/30,0.0595558,0.0148857,1.35,0.060975613,188.238589,-0.506732767,0.235969746,1.357288201
1997/5/31,0.0608812,0.0087127,2.619999,0.122774086,234.1586113,-0.526231161,0.172581637,1.27691167
1997/6/30,0.0445364,0.0116427,1.659999,0.076958693,263.7208809,-0.602155216,0.143247159,1.306401002
1997/7/31,0.0796567,0.0280204,1.74,0.079743355,333.5000529,-0.464159547,0.185218159,1.317908471
1997/8/31,-0.0560905,-0.0085329,2.74,0.116546151,241.8868327,-0.562302119,0.291143501,1.319567882
1997/9/30,0.0546897,0.0144838,1.350001,0.054523465,285.369152,-0.583127406,0.232379443,1.500497474
1997/10/31,-0.0335025,0.0144534,7.950001,0.305886918,223.7382059,-0.479435999,0.223470229,1.65268367
1997/11/30,0.0459851,0.0032803,3.7,0.096858636,259.4150144,-0.485236689,-0.22825127,1.643169559
1997/12/31,0.0172497,0.0103785,3.08,0.081395349,259.879949,-0.4689548,-0.258876687,1.657859519
1998/1/31,0.0111025,0.0132012,2.680001,0.088536538,252.4935825,-0.41171499,-0.378008192,1.670051437
1998/2/28,0.0719227,-0.0009538,1.039999,0.036249528,321.7013906,-0.4675003,-0.274384369,1.614931783
1998/3/31,0.0510369,0.003274,2.030001,0.094199587,366.0145485,-0.473706469,-0.220154142,1.62595223
1998/4/30,0.0100773,0.0051041,4.120001,0.167072222,352.591836,-0.5083613,-0.157486343,1.471063811
1998/5/31,-0.0174351,0.0101982,3.08,0.118052894,297.9958547,-0.377226178,-0.138218274,1.515014344
1998/6/30,0.0407157,0.0080769,3.16,0.135100476,326.8663634,-0.42406731,-0.102962792,1.725406856
1998/7/31,-0.0105413,0.0022517,2.76,0.106399379,282.6945165,-0.319558438,-0.066171772,1.81855974
1998/8/31,-0.1447356,0.0189941,7.41,0.293465347,47.18002836,-1.198596305,0.078785041,1.610145804
1998/9/30,0.0641111,0.0196109,5.630001,0.127145464,112.651406,-1.21906261,-0.003536733,1.874604101
1998/10/31,0.0816413,-0.0055417,2.529999,0.055862198,201.2377594,-1.184839333,-0.008509183,1.934101914
1998/11/30,0.0607157,0.0048643,3.92,0.085701789,266.737749,-1.197982044,-0.046176958,1.993674499
1998/12/31,0.0580516,0.0038469,3.59,0.122609285,329.2204648,-1.264587202,0.036577686,1.942047748
1999/1/31,0.042036,0.007926,2.869999,0.091663976,365.4213314,-1.466783734,-0.01353781,2.134500339
1999/2/28,-0.0312447,-0.0176699,2.34,0.070952092,282.893655,-1.323071819,-0.312162999,2.16143719
1999/3/31,0.0399647,0.0056107,2.27,0.072385202,321.7431419,-1.320324583,-0.250571496,2.168328981
1999/4/30,0.0385198,0.004006,2.52,0.086242303,360.2558923,-1.335135956,-0.232963075,2.215152595
1999/5/31,-0.0238905,-0.0083045,3.220001,0.121877403,294.0617957,-1.226898931,-0.126688254,2.171953446
1999/6/30,0.0555602,-0.0054679,1.739999,0.060207578,361.8432115,-1.358829301,-0.113175267,2.154165632
1999/7/31,-0.0313017,-0.0038838,2.720001,0.102178847,277.9877822,-1.204667484,-0.072764335,2.163189468
1999/8/31,-0.004965,-0.0007819,2.799999,0.112089632,242.2344911,-1.172231961,-0.05822075,2.136909986
1999/9/30,-0.0273898,0.0125776,2.649999,0.093145832,170.6936093,-1.203322144,-0.15234805,2.144799515
1999/10/31,0.0632644,0.0033299,3.119999,0.11206893,256.03813,-1.198009649,-0.07150284,2.151607805
