Date,vfinx,hsi,n225,pesi,ks11,jkse,msci,vgk,vwo,iemg,eem,emb,ibcx,spsk,asia,hydb,tlt
1998-05-01,69.44224548339840,10563.6796875,15601.099609375,7.8125,,448.5249938964840,,,,,,,,,,,
1998-06-01,67.68785095214840,8612.009765625,15321.0302734375,9.0625,336.70001220703100,414.0790100097660,,,,,,,,,,,
1998-07-01,71.3465576171875,,16362.8896484375,9.6875,315.55999755859400,456.5274353027340,,,,,,,,,,,
1998-07-31,68.94844818115230,,,12.34375,,,,,,,,,,,,,
1998-09-01,61.25880813598630,7062.47021484375,14369.6298828125,8.125,309.7099914550780,325.8443298339840,,,,,,,,,,,
1998-10-01,60.87206268310550,,13197.1201171875,7.8125,305.6400146484380,273.85986328125,,,,,,,,,,,
1998-11-02,68.66936492919920,10170.080078125,13952.75,9.0625,404.6099853515630,307.1888732910160,,,,,,,,,,,
1998-12-01,72.7173080444336,9975.849609375,14835.41015625,7.1875,445.9599914550780,387.7234802246090,,,,,,,,,,,
1998-12-31,76.17369842529300,,,7.5,,,,,,,,,,,,,
1999-02-01,78.96129608154300,9599.5498046875,14465.1796875,7.1875,581.6699829101560,409.099853515625,,,,,,,,,,,
1999-03-01,76.7686996459961,10020.4599609375,14221.75,6.09375,,396.313232421875,,,,,,,,,,,
1999-04-01,80.42340087890630,11072.98046875,16327.5595703125,5.3125,636.8900146484380,394.4212951660160,,,,,,,,,,,
1999-04-30,83.04634857177730,,,6.875,,,,,,,,,,,,,
1999-06-01,80.5982666015625,12363.5595703125,16408.5,6.09375,753.719970703125,583.23974609375,,,,,,,,,,,
1999-07-01,86.08556365966800,,17860.75,8.125,919.97998046875,673.0220336914060,,,,,,,,,,,
1999-08-02,82.84722137451170,13435.4296875,17825.69921875,6.25,959.8099975585940,596.4953002929690,,,,,,,,,,,
1999-09-01,83.16433715820310,13544.1904296875,17802.48046875,7.8125,905.52001953125,571.759033203125,,,,,,,,,,,
1999-10-01,80.22338104248050,,17712.560546875,6.71875,839.3499755859380,566.025146484375,,,,,,,,,,,
1999-11-01,84.73661804199220,13322.1103515625,17996.919921875,7.34375,876.5499877929690,595.0662841796880,,,,,,,,,,,
1999-12-01,87.59208679199220,15422.51953125,18495.94921875,7.1875,999.1599731445310,597.5233154296880,,,,,,,,,,,
1999-12-31,92.2285385131836,,,5.9375,,,,,,,,,,,,,
2000-02-01,88.5211181640625,15653.8603515625,19423.380859375,7.8125,928.75,616.8377075195310,,,,,,,,,,,
2000-03-01,86.74242401123050,16843.58984375,20081.669921875,6.5625,,565.4612426757810,,,,,,,,,,,
2000-03-31,94.30329895019530,,,8.75,,,,,,,,,,,,,
2000-05-01,92.46614074707030,,18403.080078125,6.875,,524.5934448242190,,,,,,,,,,,
2000-06-01,91.3802490234375,14941.1904296875,16694.30078125,7.5,738.489990234375,,,,,,,,,,,,
2000-06-30,91.8314437866211,,,7.5,,,,,,,,,,,,,
2000-08-01,90.92098999023440,16897.44921875,16099.669921875,7.34375,727.0999755859380,489.6624755859380,,,,,,,,,,,
2000-09-01,96.26038360595700,17333.609375,16739.779296875,8.125,692.1900024414060,470.40106201171900,,,,,,,,,,,
2000-10-02,90.96015167236330,,15902.509765625,7.34375,589.219970703125,432.2261962890630,,,,,,,,,,,
2000-11-01,90.08185577392580,15349.009765625,14872.3896484375,9.0625,548.760009765625,409.349853515625,,,,,,,,,,,
2000-12-01,83.46704864501950,14441.4296875,14835.330078125,9.0625,514.4600219726560,427.539306640625,,,,,,,,,,,
2001-01-02,81.52689361572270,14869.9404296875,,7.1875,520.9500122070310,410.19281005859400,,,,,,,,,,,
2001-02-01,87.33645629882810,16163.990234375,13779.5498046875,9.84375,612.2999877929690,430.5682373046880,,,,,,,,,,,
2001-03-01,79.00072479248050,14360.5595703125,12681.66015625,9.6875,,424.01739501953100,,,,,,,,,,,
2001-04-02,72.97989654541020,12727.2998046875,12937.8603515625,9.0625,515.2000122070310,375.0208740234380,,,,,,,,,,,
2001-05-01,80.71688079833980,,14425.4599609375,12.100000381469700,,362.2172546386720,,,,,,,,,,,
2001-06-01,80.46839904785160,13141.3798828125,13261.83984375,13.350000381469700,607.0700073242190,396.5022277832030,,,,,,,,,,,
2001-07-02,78.97757720947270,,12751.1796875,11.199999809265100,596.739990234375,431.32318115234400,,,,,,,,,,,
2001-08-01,77.72527313232420,12478.740234375,11959.330078125,11.600000381469700,562.7899780273440,443.18084716796900,,,,,,,,,,,
2001-08-31,72.5569839477539,,,15.300000190734900,,,,,,,,,,,,,
2001-10-01,66.52914428710940,,9972.2802734375,15.149999618530300,,388.6634521484380,,,,,,,,,,,
2001-11-01,69.51467895507810,10158.849609375,10347.2802734375,16.049999237060500,544.0900268554690,381.9876403808590,,,,,,,,,,,
2001-11-30,73.14591979980470,,,15.25,,,,,,,,,,,,,
