,evaluation,date,label
0,三星搶市企圖心旺 大陸首座NAND廠明年動工,2011-12-6,1
1,《德國經濟》工廠訂單增幅出色 外銷大增8.3%,2011-12-6,1
2,PCB廠臻鼎Q4營運將續創新高，拿下全球第4大,2011-12-6,0
3,全球最大鐵礦砂散裝船受困巴西港 恐干擾供應鏈,2011-12-6,-1
4,專家嘆行情看不懂 蘋果、雷夫羅倫成了資金避風港,2011-12-6,0
5,《韓股》德、法評等遭列降級觀察名單 KOSPI挫1.04%,2011-12-6,0
6,小品牌也想進軍Ultrabook！Intel傳來台找ODM代工,2011-12-6,-1
7,《台股》全盤皆墨 收跌141點 7000點再失守,2011-12-6,-1
8,《日股》德法「AAA」評等恐不保 日經跌1.4% 失守季線,2011-12-6,-1
9,1-2集中市場三大法人合計賣超40.14億元,2012-1-2,-1
10,美國消費原地踏步！大摩：3年半平均增幅創二戰新低,2012-1-2,-1
11,三星看2012年：經濟維持低成長，現有業務恐停滯,2012-1-2,-1
12,別輕忽當前危機！南韓總統：全球進入低成長時代,2012-1-2,-1
13,《韓股》KOSPI盤中跌0.42% DRAM雙雄、LGD逆勢勁揚,2012-1-2,-1
14,美債泡沫破裂？外國央行過去4週減持金額創新高,2012-1-2,-1
15,LG將於CES展出55吋低成本OLED TV 厚度僅4毫米,2012-1-2,-1
16,義大利總統：請為年輕人未來著想，別讓財政崩盤,2012-1-2,0
17,《基金》2011年大中華股票型基金淨失血16億美元,2012-1-2,-1
18,英特爾首款Android智慧機傳CES問世 LG電子製造,2012-1-2,1
19,Android行動上網市佔掉至第三 12月AT&T通路銷售差？,2012-1-2,0
20,大陸12月官方PMI重回50之上 惟成長動能仍較弱,2012-1-2,1
21,《油價》NYMEX原油全年上漲8% 布蘭特原油上漲13%,2012-1-2,1
22,《美債》2011年封關長債價格小漲 公債表現3年最佳,2012-1-2,1
23,《歐股》英股全年跌幅僅個位數 法股封關創9年新低,2012-1-2,1
24,豐田市值16年來首度跌破10兆日圓 任天堂跌出前20大,2012-1-2,-1
25,今年歐洲吹保護主義風？法擬徵進口稅 義要弱勢歐元,2012-1-2,-1
26,2011年NAND、LTE令慧榮狂飆 美國生技、社群遊戲夯,2012-1-2,1
27,《美股回顧》2011年，投資人一起追(漲)過的股票,2012-1-2,-1
28,《匯市》歐元兌日圓破百創2000年新低 全年貶逾8%,2012-1-2,-1
29,2011年日本重建概念股漲勢驚人 社群遊戲股也亮眼,2012-1-2,1
30,《美股》歐債疑慮拖累 2011年標普500小跌0.04點,2012-1-2,-1
31,《韓股》Hynix勁揚、期待美國經濟復甦 KOSPI漲0.03%,2012-1-2,1
32,《台股》大跌119點 7000點失守 量創近3年低,2012-1-2,-1
33,1-2集中市場三大法人合計賣超40.14億元,2012-1-2,-1
34,美國消費原地踏步！大摩：3年半平均增幅創二戰新低,2012-1-2,-1
35,三星看2012年：經濟維持低成長，現有業務恐停滯,2012-1-2,-1
36,別輕忽當前危機！南韓總統：全球進入低成長時代,2012-1-2,-1
37,《韓股》KOSPI盤中跌0.42% DRAM雙雄、LGD逆勢勁揚,2012-1-2,-1
38,美債泡沫破裂？外國央行過去4週減持金額創新高,2012-1-2,-1
39,LG將於CES展出55吋低成本OLED TV 厚度僅4毫米,2012-1-2,-1
40,義大利總統：請為年輕人未來著想，別讓財政崩盤,2012-1-2,0
41,《基金》2011年大中華股票型基金淨失血16億美元,2012-1-2,-1
42,英特爾首款Android智慧機傳CES問世 LG電子製造,2012-1-2,1
43,Android行動上網市佔掉至第三 12月AT&T通路銷售差？,2012-1-2,0
44,大陸12月官方PMI重回50之上 惟成長動能仍較弱,2012-1-2,1
45,《油價》NYMEX原油全年上漲8% 布蘭特原油上漲13%,2012-1-2,1
46,《美債》2011年封關長債價格小漲 公債表現3年最佳,2012-1-2,1
47,《歐股》英股全年跌幅僅個位數 法股封關創9年新低,2012-1-2,1
48,豐田市值16年來首度跌破10兆日圓 任天堂跌出前20大,2012-1-2,-1
49,今年歐洲吹保護主義風？法擬徵進口稅 義要弱勢歐元,2012-1-2,-1
50,2011年NAND、LTE令慧榮狂飆 美國生技、社群遊戲夯,2012-1-2,1
51,《美股回顧》2011年，投資人一起追(漲)過的股票,2012-1-2,-1
52,《匯市》歐元兌日圓破百創2000年新低 全年貶逾8%,2012-1-2,-1
53,2011年日本重建概念股漲勢驚人 社群遊戲股也亮眼,2012-1-2,1
54,《美國經濟》民間就業增幅縮水 小企業貢獻過半,2012-2-1,-1
55,花旗：大陸經濟下行趨勢不變，需推更多激勵政策,2012-2-1,-1
56,《陸股》出口訂單指數連4月走疲，滬指跌逾1%,2012-2-1,-1
57,《韓股》LG Chem、三星SDI勁揚 KOSPI漲0.18%,2012-2-1,1
58,《日股》強勢日圓壓縮漲幅 日經小漲0.08% Sharp大跌,2012-2-1,1
59,《台股》金電齊揚 收漲32點 龍年連三紅,2012-2-1,1
60,2-1集中市場三大法人合計買超3.2億元,2012-2-1,1
61,LG手機部門7季來首度轉虧為盈！LTE智慧機成焦點,2012-2-1,1
62,《財報》Sharp上季面板虧208億 砍財測、10代廠減產5成,2012-2-1,-1
63,研調：缺乏「程式內虛擬商品」是Win Phone的痛腳,2012-2-1,0
64,《財報》LG Q4淨損縮至1120億韓圜 股價創7個月新高,2012-2-1,-1
65,Wi-Fi應用增 2015年802.11ac晶片組出貨將逾6.5億顆,2012-2-1,-1
66,南韓央行擬於下半年動用外匯存底買進大陸股票,2012-2-1,0
67,《韓股》LG Chem、營建股勁揚 KOSPI盤中漲0.24%,2012-2-1,1
68,歐洲太陽能需求跳增！阿特斯：反應不及供應陷短缺,2012-2-1,1
69,《日股》汽車、內需股走揚提振 日經早盤翻紅漲0.28%,2012-2-1,1
70,《大陸經濟》1月百城住宅價格指數連五月下降,2012-2-1,1
71,CBO：美國赤字將連4年逾1兆美元，Q4失業率達8.9%,2012-2-1,-1
72,希臘換債協商本週底定否？ECB放棄獲利惹人關注,2012-2-1,0
73,IHS：2013年全球LTE技術資本支出將暴增179%,2012-2-1,1
74,三星疑濫用基礎專利打官司 歐盟展開反托拉斯調查,2012-2-1,0
75,大陸1月官方PMI高於預期，惟出口訂單指數續降,2012-2-1,1
76,富士康傳擬於巴西建5座新廠，衝刺平板供貨規模,2012-2-1,0
77,IHS：通訊晶片扮推手，今年半導體營收將年增3.3%,2012-2-1,0
78,《美債》消費信心意外跌 5年債殖利率續破底,2012-2-1,-1
79,亞馬遜：假期旺季Kindle系列產品銷售量年增177%,2012-2-1,1
80,《歐股》希臘換債本週可望有譜 三大指數反彈,2012-2-1,1
81,《財報》IC設計廠博通本季營收預估優，盤後走高,2012-2-1,1
82,《財報》亞馬遜財報財測差 營益率結束連3季跌勢,2012-2-1,1
83,《油價》消費信心下滑 NYMEX原油下跌0.3%,2012-2-1,-1
84,《匯市》歐元兌美元月線升1% 希債民間減值月中敲定,2012-2-1,1
85,TV面板市況不佳！瑞薩宣布退出大尺寸LCD驅動IC市場,2012-2-1,-1
86,《美股》消費者信心遜、蘋果續創新高 美股漲跌互見,2012-2-1,-1
87,《美國經濟》ISM芝加哥指數降至60.2，遜於預期,2012-2-1,1
88,《美國經濟》1月消費者信心跌至61.1，遠低於預期,2012-2-1,-1
89,TV需求低迷面板庫存攀高 Sharp 10代廠傳減產5成,2012-2-1,1
90,《美國經濟》消費支出連7度增加 惟不如預期,2012-3-1,1
91,《美國經濟》初領失業救濟金人數維持於4年低點,2012-3-1,-1
92,義大利10年債殖利率半年多來首度跌破5%,2012-3-1,-1
93,歐元區失業率又創新高 西班牙青年近半數無頭路,2012-3-1,-1
94,蘋果+Ultrabook雙動力 達方今年會比去年好,2012-3-1,0
95,達方去年獲利掉7成僅賺5毛 今年成長仍看鍵盤,2012-3-1,0
96,中美太陽能雙反案初裁公佈日 三度延期至3-20,2012-3-1,-1
97,台股助攻，新光金每股淨值重回近票面水準,2012-3-1,0
98,德內閣獲授權 無需議會投票即可削減太陽能補貼,2012-3-1,0
99,4點半召開記者會，力成董座親上火線說清楚,2012-3-1,0
100,《日股》獲利了結 日經收跌0.16% 結束連2紅,2012-3-1,-1
101,3-1集中市場三大法人合計買超57.31億元,2012-3-1,1
102,《台股》狹幅震盪收小跌3點 8100點有守,2012-3-1,1
103,Intel：汽車為最終極的聯網行動裝置，成立投資基金,2012-3-1,0
104,冠捷代工低價液電震撼南韓市場，三星、LG被迫反擊,2012-3-1,0
105,北美1月印刷電路板BB值升至1.01 硬板接單上揚,2012-3-1,1
106,ARM平板與傳統Win共通點：桌面外觀相同，Office相容,2012-3-1,0
107,巴菲特太陽能發電廠債券超搶手 擬執行第二輪發行案,2012-3-1,0
108,《日股》Sony等出口股走揚 日經早盤漲0.35%,2012-3-1,1
109,東芝形塑全球最輕薄10吋平板 搶在3月6日發售,2012-3-1,0
110,"今年iPad銷量上看5,500萬台 RBC：iPad 2可能降百元",2012-3-1,1
111,華為宣布加入，三星主導的Tizen智慧機平台聲勢壯大,2012-3-1,0
112,《財報》光通訊元件廠Finisar本季財測差 盤後大跌11%,2012-3-1,-1
113,《大陸經濟》2月製造業PMI攀至近5個月新高,2012-3-1,1
114,微軟公佈Win 8硬體要求 稱測試常用華碩平板,2012-3-1,0
115,蘋果市值較台灣、波蘭、比利時、瑞典GDP都還要高,2012-3-1,0
116,iPad 3解析度升級，電池續航力要求大舉升高,2012-3-1,0
117,讀賣：爾必達流動資金恐於8月底枯竭,2012-3-1,0
118,微軟發表Win 8消費者預覽版 強調雲端、程式商店,2012-3-1,0
119,經長施顏祥：三管齊下救DRAM產業,2012-3-1,1
120,貝萊德CEO：美股依舊具吸引力，大陸不會顯著放慢,2012-3-1,1
121,《韓股》南韓股市因適逢獨立運動紀念日休市1天,2012-3-1,0
122,《歐股》QE3預期消散令三大指數反轉下挫 太陽能股弱,2012-3-1,-1
123,美年內升息？美元兌日圓月線升6%，創09年最大漲幅,2012-3-1,-1
124,《油價》經濟轉佳 NYMEX原油上漲0.5%,2012-3-1,1
125,小蝦米勝利！健亞對抗武田侵權賠償官司勝訴,2012-3-1,0
126,《匯市》柏南克談話暗示QE3短期無望？美元匯率勁揚,2012-3-1,1
127,《美股》柏南克未提振興措施、金價重挫 道瓊收低,2012-3-1,-1
128,《美國經濟》ISM芝加哥優於預期，就業創1984年新高,2012-3-1,1
129,歐元區失業率又創紀錄！西班牙仍居首位,2012-4-2,-1
130,匯豐台灣PMI指數連二月揚 3月增幅創近一年新高,2012-4-2,1
131,《韓股》穆迪調高信評展望激勵金融股 KOSPI漲0.76%,2012-4-2,1
132,《日股》日圓貶 日經收漲0.26% 結束連3跌,2012-4-2,1
133,前所未見！IDC：今年硬碟營收年增率將超越出貨量,2012-4-2,1
134,4-2集中市場三大法人合計賣超35.9億元,2012-4-2,-1
135,《台股》油電雙漲重壓 收跌70點 又破年線,2012-4-2,-1
136,Japan Display正式上路 將積極研發OLED面板,2012-4-2,0
137,《韓股》大陸製造業增溫、金融股攀高 KOSPI漲0.46%,2012-4-2,1
138,穆迪將南韓信評展望調高至「正向」 韓圜聞訊走升,2012-4-2,1
139,《日股》日圓貶、Sony等出口股走揚 日經早盤漲0.79%,2012-4-2,1
140,三星LCD、OLED事業傳7月合併 全球最大面板廠誕生,2012-4-2,1
141,《南韓經濟》3月製造業PMI創1年新高 就業4個月首度增,2012-4-2,1
142,LG和Sharp敲定LCD採購合約 拉攏Panasonic、Sony,2012-4-2,1
143,《NB代工》非NB影響力漸顯 去年獲利排名大洗牌,2012-4-2,0
144,手機Q4多家轉盈，獲利季增以美律150%居冠,2012-4-2,0
145,大陸咖啡商機大！星巴克：門市數三年要擴充3倍,2012-4-2,0
146,黑莓機廠商RIM強化印度CDMA佈局 挑戰宏達電-三星,2012-4-2,-1
147,油電飆漲物價蠢動，央行雙率政策受關注,2012-4-2,0
148,德國太陽能巨擘Q-Cells傳最晚週二宣告無力償債,2012-4-2,-1
149,《油價》NYMEX原油月線收低3.8%,2012-4-2,-1
150,《遊戲》去年獲利兩極 歐買尬-傳奇-樂陞倍增,2012-4-2,1
151,元太高階人事大異動 何奕達主導電子紙業務,2012-4-2,0
152,《美債》消費利多令長債價格齊挫 Q1跌幅一年多最大,2012-4-2,-1
153,《歐股》紓困基金定調 DAX創1998年最大Q1漲幅,2012-4-2,1
154,TDK傳結束光碟片生產業務 退出消費性BD市場,2012-4-2,0
155,《美國經濟》密大消費者信心跳增 創去年2月新高,2012-4-2,1
156,《美股》標普500指數創1998年以來最大第1季漲幅,2012-4-2,-1
157,Panasonic手機生產傳全數移往海外 部分委外代工,2012-4-2,0
158,《美國經濟》ISM芝加哥跌幅逾預期 就業逆勢升,2012-4-30,1
159,《美國經濟》消費支出較預期略差 儲蓄率微升,2012-4-30,-1
160,掌握數位閱讀大趨勢！邦諾、微軟攜手成立子公司,2012-4-30,0
161,看好機器人發展 上銀將展開五年千億大投資,2012-4-30,0
162,台達電Q1毛利率重回20%大關，EPS 1.52元,2012-4-30,0
163,上銀董座：4月營收將回到十位數 Q2一定比Q1好,2012-4-30,0
164,新普Q1 EPS2.7元符合預期 Q2 EPS目標逾3元,2012-4-30,-1
165,油電雙漲 主計處下修今年GDP至3.38%,2012-4-30,-1
166,奇美電Q2出貨估增1-2成；Q3前完成200億增資,2012-4-30,1
167,華碩看好Ultrabook動能，Q2成長，Q3更強,2012-4-30,0
168,華碩沈振來：Q3可望登上Android平板一哥,2012-4-30,1
169,高盛：美國4月非農新增就業人數可能僅有12.5萬人,2012-4-30,-1
170,F-IML：Q2營收2位數成長不變，Q3-Q4估持平,2012-4-30,-1
171,4-30新台幣兌美元匯率以29.232元作收，升值1角,2012-4-30,1
172,《韓股》三星連3日創歷史新高 KOSPI收漲0.34%,2012-4-30,1
173,《財報》奧運贊助商愛迪達報喜，調高年度財測,2012-4-30,1
174,《台股》收漲21點，站回半年線；月線連二黑,2012-4-30,-1
175,4-30集中市場三大法人合計買超43.04億元,2012-4-30,1
176,IDC：2012年全球半導體銷售額將成長6-7%,2012-4-30,1
177,歐洲亟思重振經濟成長 下次峰會傳將討論馬歇爾計劃,2012-4-30,0
178,《韓股》三星SDI等科技股上揚 KOSPI盤中小漲0.06%,2012-4-30,1
179,苦呀！歐洲多國經濟衰退但汽油價格卻創歷史新高,2012-4-30,-1
180,今年全球失業率恐倍增！ILO：短期內看不到復甦跡象,2012-4-30,-1
181,別想順利IPO？雅虎再告臉書，稱其專利多非自行研發,2012-4-30,0
182,侵權官司大和解？三星、蘋果預定5月21-22日協商,2012-4-30,0
183,景氣差！WSA降全球鋼鐵預估，寶僑創09年最大跌幅,2012-4-30,-1
184,傳iPhone 5發表規模將創史上新高 Q3庫存達6千萬支,2012-4-30,1
185,西班牙外長：歐洲像鐵達尼號，船沉了大家都遭殃,2012-4-30,-1
186,鴻海Q1營利率跌破1%，獲利減半，EPS1.4元,2012-4-30,-1
187,《美債》GDP令人失望 10年債殖利率連11日低於2%,2012-4-30,-1
188,《油價》消費支出增加 NYMEX原油上漲0.35%,2012-4-30,1
189,聯發科：部分重要專案將由台灣移至印度,2012-4-30,0
190,《歐股》企業財報抵銷經濟利空 德-英指數創3週新高,2012-4-30,1
191,豐田合成、昭和電工合組GaN藍光LED廠,2012-4-30,0
192,亞馬遜市值重返1千億美元，大型股中漲幅僅次於蘋果,2012-4-30,1
193,傳蘋果找EPIX談電影串流服務 協議涵蓋自有品牌TV,2012-4-30,0
194,需求低迷+節電 Osaka Titanium多晶矽廠將停工1個月,2012-4-30,0
195,《美股》亞馬遜財報創佳績、消費者信心優 道瓊收高,2012-4-30,1
196,Sharp：10代廠將於4-6月持續減產 7月將量產CGS面板,2012-4-30,0
197,《美國經濟》非農增幅創1年新低 勞動參與率升,2012-6-1,-1
198,歐元區失業率位處史上新高 西班牙仍居冠,2012-6-1,-1
199,德國製造業創09年6月以來最大降幅，德股創1月新低,2012-6-1,-1
200,金磚光環蒙塵！大摩：恐輸給菲律賓、印尼與泰國,2012-6-1,-1
201,《日股》日經週線連9跌！下週再挫將創37年最長連黑,2012-6-1,-1
202,《韓股》KOSPI連續3日收低 週線小漲0.57%,2012-6-1,1
203,6-1集中市場三大法人合計賣超82.01億元,2012-6-1,-1
204,世銀：今夏與08年詭異巧合，存款人小跑暖身準備逃命,2012-6-1,-1
205,《台股》證所稅案再擾盤 挫跌195點,2012-6-1,-1
206,哪有餘力存購屋頭期款？美國學貸餘額10年內增275%,2012-6-1,-1
207,《日股》日經225早盤跌0.7% 日圓強勢、出口股同悲,2012-6-1,-1
208,《韓股》美、陸經濟差 KOSPI跌0.29% 三星逆勢漲,2012-6-1,1
209,金磚黯淡！俄羅斯、巴西股市5月分別跌逾22%、11%,2012-6-1,0
210,三星Galaxy S III短缺？傳藍色以外機種也延遲出貨,2012-6-1,-1
211,印度不再金光閃閃！專家：當地製造業簡直糟透了,2012-6-1,0
212,Win 8進入最後兩月測試階段 傳宏碁、華碩搶秀新品,2012-6-1,0
213,《美國經濟》5月同店銷售年增4% 優於市場預期,2012-6-1,1
214,大陸PMI重挫！匯豐：趕快啟動投資，調結構以後再說,2012-6-1,-1
215,預期鋼價底部將至 鋼筋廠本週接單超乎預期,2012-6-1,1
216,大陸5月製造業PMI降至50.4，明顯低於預期,2012-6-1,-1
217,陳沖：證所稅增雙軌制落日條款 降低市場衝擊,2012-6-1,1
218,次代iPhone螢幕影片曝光！傳Skyworks供應額增150%,2012-6-1,0
219,《美債》歐債-經濟數據失色 10年債殖利率創歷史新低,2012-6-1,-1
220,藍營共識版證所稅 民國106年起改單軌制,2012-6-1,0
221,歐債、大陸趨緩衝擊！韓出口連三月呈年減 出乎意料,2012-6-1,1
222,西班牙、義大利是否續用歐元，未來幾週將是關鍵期,2012-6-1,0
223,《歐股》金融股反彈-汽車股回軟 三大指數漲多跌少,2012-6-1,1
224,《財報》CMOS廠豪威本季本業EPS預估遠遜 盤後挫8%,2012-6-1,1
225,西班牙向美國、IMF討救兵？首季970億歐元離開西國,2012-6-1,1
226,庫存升高經濟不佳 原油創逾三年單月最大跌幅,2012-6-1,1
227,信義：5月全台成交量下滑，雙北市減幅逾1成,2012-6-1,-1
228,《美股》經濟數據欠佳 道瓊收低 月線跌幅創2年新高,2012-6-1,-1
229,《匯市》IMF討論西班牙紓困？歐元兌日圓創11年新低,2012-6-1,-1
230,西班牙銀行紓困金低估？3年間虧3千億歐元,2012-7-2,-1
231,歐元區製造業連11度衰退 下半年恐更糟,2012-7-2,-1
232,歐元區失業率又創新高 西班牙升-義大利降,2012-7-2,-1
233,《日股》短線漲逾10%、日圓尾盤急升，日經紅翻黑,2012-7-2,-1
234,撐不住！日本老牌散裝航運商三光汽船聲請破產保護,2012-7-2,-1
235,Sony提升雲端遊戲競爭力 砸3.8億美元併Gaikai,2012-7-2,1
236,《韓股》三星電子下挫拖累 KOSPI收跌0.13%,2012-7-2,0
237,7-2集中市場三大法人合計賣超26.61億元,2012-7-2,-1
238,《台股》收漲48點 站上季線,2012-7-2,-1
239,電子商務網站流量調查：平板趕過智慧機，PC是下個？,2012-7-2,-1
240,沃爾瑪股價創歷史新高，躍居美系第四大市值企業,2012-7-2,-1
241,《日股》日經225早盤小漲0.16% 航運股偏強,2012-7-2,-1
242,《韓股》歐洲峰會傳佳音、三星走軟 KOSPI小漲,2012-7-2,-1
243,iPad大陸商標案達成和解，蘋果支付唯冠6千萬美元,2012-7-2,0
244,油價強彈將扭轉下降趨勢？CNBC調查：本週恐續跌,2012-7-2,0
245,韓國央行已下指令購買陸股，額度達3億美元,2012-7-2,-1
246,亞馬遜上半年漲3成，傳年底進軍巴西電子書市場,2012-7-2,-1
247,抗通膨法寶除黃金外，大豆、玉米等軟性商品也是？,2012-7-2,-1
248,《日本經濟》央行大型製造業信心增加 超越預期,2012-7-2,1
249,歐盟峰會消息發威 LME銅創半年多最大漲幅,2012-7-2,0
250,侵權戰告急！三星獲谷歌援手，可能授權蘋果談和？,2012-7-2,0
251,ECB若降息＋LTRO3，多頭反攻行情可走到10月？,2012-7-2,-1
252,陳裕璋：研議開放國內企業發行人民幣債券,2012-7-2,-1
253,《歐股》歐盟峰會祭新措施 德法創7個月最大漲幅,2012-7-2,-1
254,《主筆室》億萬富豪不願與你分享的財富報告,2012-7-2,-1
255,COMEX黃金大漲3.5% 市場預估下週可望續揚,2012-7-2,-1
256,《美股》歐盟敲定銀行協議 標普500月增幅創2月新高,2012-7-2,-1
257,《油價》伊朗疑慮升高，NYMEX升逾9%；Q2跌17%,2012-7-2,-1
258,《匯市》德國立場軟化，歐元兌美元、日圓勁升,2012-7-2,-1
259,《美國經濟》ISM製造業景氣疲 就業2年半新低,2012-8-1,1
260,《美國經濟》民間非農就業優 連30度成長,2012-8-1,-1
261,蘇拉颱風來襲，北市8-2停班、台股休市一天,2012-8-1,0
262,標普雪中送炭 重申西班牙信評不變,2012-8-1,1
263,《陸股》官方信心喊話 滬指漲0.94%、收復5日線,2012-8-1,1
264,日本加入南韓腳步搶俄羅斯商機！美國企業乾著急,2012-8-1,1
265,華邦電看好本季Nor flash需求 加速轉進58nm,2012-8-1,-1
266,《韓股》靜待歐美央行政策、三星拉回，KOSPI收低,2012-8-1,-1
267,《日股》靜待FOMC結果 日經結束連4揚 Panasonic大漲,2012-8-1,1
268,8-1集中市場三大法人合計買超5.77億元,2012-8-1,1
269,《台股》開低走高 量增小跌2點，力守季線,2012-8-1,-1
270,《財報》智慧機夯 軟板龍頭旗勝上季獲利跳增21倍,2012-8-1,1
271,《大陸經濟》百城住宅7月均價呈連2個月反彈,2012-8-1,1
272,《韓股》靜待FED、ECB會議結果，KOSPI拉回小跌,2012-8-1,0
273,德國傳點頭要幫西班牙，歐洲央行將成功搶救歐元？,2012-8-1,0
274,《財報》營收強強滾 HDMI晶片商晶像盤後飆22%,2012-8-1,-1
275,《日股》日圓走強 日經早盤跌1% Panasonic大漲6%,2012-8-1,-1
276,歐洲央行硬起來！歐尼爾：Draghi強勢與否是關鍵,2012-8-1,0
277,溫家寶：加大預調微調，進一步實施結構性減稅,2012-8-1,-1
278,《財報》LED銷售大增 豐田合成轉盈 股價逆勢走揚,2012-8-1,1
279,外資看淡宏達電Q3後市，營收季減4-15%不等,2012-8-1,0
280,尚德恐破產！捲入5.6億歐元騙局，大陸可能插手,2012-8-1,-1
281,《歐股》ECB預期降溫、銀行財報差 三大指數回挫,2012-8-1,-1
282,《匯市》德國反對發給ESM銀行執照，歐元漲勢收斂,2012-8-1,-1
283,CBOT玉米創1988年來連續兩個月最大漲幅,2012-8-1,-1
284,大螢幕果然有看頭！3DS LL日本開賣2天熱銷19萬台,2012-8-1,1
285,NYMEX原油跌近2% 月線上漲3.65%,2012-8-1,-1
286,《美股》靜待FOMC結果，道瓊走軟；費城逆勢漲,2012-8-1,1
287,高通當心！富士通傳攜手DoCoMo、NEC研發智慧機晶片,2012-8-1,1
288,《美國經濟》7月消費者信心意外跳增，期望指數升,2012-8-1,1
289,F-永冠總座：下半年營運有機會優於上半年,2012-8-31,-1
290,仁寶陳瑞聰：NB整併潮將從品牌吹向代工廠,2012-8-31,1
291,智擎9-18上櫃；胰臟癌新藥商機可期,2012-8-31,1
292,豐興今日廢鋼再降200元 本週跌幅逾6％,2012-8-31,-1
293,彭淮南：儘快成立清算行 啟動DBU人民幣業務,2012-8-31,0
294,仁寶陳瑞聰：沒好消息 下修NB出貨至與去年持平,2012-8-31,0
295,新焦點：2015年前 目標在中國沿海拓點達400家,2012-8-31,1
296,上證月線4連跌，創04年4-8月來最長連跌走勢,2012-8-31,-1
297,《韓股》三星走揚不敵土洋法人聯手賣超，KOSPI收低,2012-8-31,1
298,央行：兩岸貨幣清算合作備忘錄已完成簽署,2012-8-31,-1
299,8-31集中市場三大法人合計買超29.25億元,2012-8-31,1
300,《日股》日經創3週新低 Sharp狂瀉12.78%失守200圓,2012-8-31,-1
301,《台股》量縮震盪收漲25點 週線黑 月線收紅,2012-8-31,1
302,債信低落怎麼辦？WGC：黃金擔保公債可壓低殖利率,2012-8-31,-1
303,貨幣清算拍版了？央行下午3:00召開記者會,2012-8-31,-1
304,蘋果在日本踢到鐵板！東京法院裁定三星未侵權,2012-8-31,0
305,《散裝》半年報逢逆風；僅F-慧洋逆勢增長,2012-8-31,-1
306,《太陽能》Q2電池廠虧損縮小 矽晶圓廠仍擴大,2012-8-31,-1
307,Sharp還沒開始量產iPhone 5螢幕！傳製程遇挑戰,2012-8-31,-1
308,聯想智慧機不急著進軍美國，先在印度、印尼練兵,2012-8-31,1
309,《韓股》靜待柏南克談話、QE3預期降，KOSPI跌0.08%,2012-8-31,-1
310,谷歌受冷落！亞馬遜傳找諾基亞為Fire提供地圖服務,2012-8-31,1
311,台經院7月製造業景氣燈號連5月亮藍燈,2012-8-31,-1
312,《遊戲》Q2半數廠商爆虧損 歐買尬重登獲利王,2012-8-31,-1
313,經濟智者：ECB買債將進退失據，希臘走、德國遭殃,2012-8-31,-1
314,《日股》工業生產不佳 日經早盤跌1% Sharp大跌9%,2012-8-31,-1
