"ISIN_CDE","SELL_PRICE","PRICE_DATE"
"LU0065014192",6.52000000,"2003-01-02"
"LU0065014192",6.54000000,"2003-01-03"
"LU0065014192",6.57000000,"2003-01-06"
"LU0065014192",6.65000000,"2003-01-07"
"LU0065014192",6.66000000,"2003-01-08"
"LU0065014192",6.65000000,"2003-01-09"
"LU0065014192",6.65000000,"2003-01-10"
"LU0065014192",6.67000000,"2003-01-13"
"LU0065014192",6.67000000,"2003-01-14"
"LU0065014192",6.66000000,"2003-01-15"
"LU0065014192",6.66000000,"2003-01-16"
"LU0065014192",6.65000000,"2003-01-17"
"LU0065014192",6.65000000,"2003-01-20"
"LU0065014192",6.66000000,"2003-01-21"
"LU0065014192",6.65000000,"2003-01-22"
"LU0065014192",6.65000000,"2003-01-23"
"LU0065014192",6.64000000,"2003-01-24"
"LU0065014192",6.62000000,"2003-01-27"
"LU0065014192",6.62000000,"2003-01-28"
"LU0065014192",6.62000000,"2003-01-29"
"LU0065014192",6.63000000,"2003-01-30"
"LU0065014192",6.63000000,"2003-01-31"
"LU0065014192",6.64000000,"2003-02-03"
"LU0065014192",6.64000000,"2003-02-04"
"LU0065014192",6.63000000,"2003-02-05"
"LU0065014192",6.62000000,"2003-02-06"
"LU0065014192",6.63000000,"2003-02-07"
"LU0065014192",6.58000000,"2003-02-10"
"LU0065014192",6.59000000,"2003-02-11"
"LU0065014192",6.58000000,"2003-02-12"
"LU0065014192",6.56000000,"2003-02-13"
"LU0065014192",6.55000000,"2003-02-14"
"LU0065014192",6.55000000,"2003-02-17"
"LU0065014192",6.56000000,"2003-02-18"
"LU0065014192",6.58000000,"2003-02-19"
"LU0065014192",6.59000000,"2003-02-20"
"LU0065014192",6.61000000,"2003-02-21"
"LU0065014192",6.61000000,"2003-02-24"
"LU0065014192",6.61000000,"2003-02-25"
"LU0065014192",6.62000000,"2003-02-26"
"LU0065014192",6.63000000,"2003-02-27"
"LU0065014192",6.65000000,"2003-02-28"
"LU0065014192",6.68000000,"2003-03-03"
"LU0065014192",6.70000000,"2003-03-04"
"LU0065014192",6.70000000,"2003-03-05"
"LU0065014192",6.71000000,"2003-03-06"
"LU0065014192",6.72000000,"2003-03-07"
"LU0065014192",6.67000000,"2003-03-10"
"LU0065014192",6.69000000,"2003-03-11"
"LU0065014192",6.69000000,"2003-03-12"
"LU0065014192",6.70000000,"2003-03-13"
"LU0065014192",6.71000000,"2003-03-14"
"LU0065014192",6.71000000,"2003-03-17"
"LU0065014192",6.72000000,"2003-03-18"
"LU0065014192",6.70000000,"2003-03-19"
"LU0065014192",6.70000000,"2003-03-20"
"LU0065014192",6.71000000,"2003-03-21"
"LU0065014192",6.72000000,"2003-03-24"
"LU0065014192",6.74000000,"2003-03-25"
"LU0065014192",6.75000000,"2003-03-26"
"LU0065014192",6.76000000,"2003-03-27"
"LU0065014192",6.79000000,"2003-03-28"
"LU0065014192",6.79000000,"2003-03-31"
"LU0065014192",6.82000000,"2003-04-01"
"LU0065014192",6.86000000,"2003-04-02"
"LU0065014192",6.89000000,"2003-04-03"
"LU0065014192",6.90000000,"2003-04-04"
"LU0065014192",6.92000000,"2003-04-07"
"LU0065014192",6.87000000,"2003-04-08"
"LU0065014192",6.86000000,"2003-04-09"
"LU0065014192",6.86000000,"2003-04-10"
"LU0065014192",6.88000000,"2003-04-11"
"LU0065014192",6.89000000,"2003-04-14"
"LU0065014192",6.92000000,"2003-04-15"
"LU0065014192",6.92000000,"2003-04-16"
"LU0065014192",6.93000000,"2003-04-17"
"LU0065014192",6.95000000,"2003-04-21"
"LU0065014192",6.97000000,"2003-04-22"
"LU0065014192",7.00000000,"2003-04-23"
"LU0065014192",7.04000000,"2003-04-24"
"LU0065014192",7.06000000,"2003-04-25"
"LU0065014192",7.07000000,"2003-04-28"
"LU0065014192",7.09000000,"2003-04-29"
"LU0065014192",7.13000000,"2003-04-30"
"LU0065014192",7.14000000,"2003-05-01"
"LU0065014192",7.16000000,"2003-05-02"
"LU0065014192",7.18000000,"2003-05-05"
"LU0065014192",7.18000000,"2003-05-06"
"LU0065014192",7.18000000,"2003-05-07"
"LU0065014192",7.15000000,"2003-05-08"
"LU0065014192",7.12000000,"2003-05-09"
"LU0065014192",7.13000000,"2003-05-12"
"LU0065014192",7.14000000,"2003-05-13"
"LU0065014192",7.13000000,"2003-05-14"
"LU0065014192",7.13000000,"2003-05-15"
"LU0065014192",7.13000000,"2003-05-16"
"LU0065014192",7.13000000,"2003-05-19"
"LU0065014192",7.12000000,"2003-05-20"
"LU0065014192",7.10000000,"2003-05-21"
"LU0065014192",7.10000000,"2003-05-22"
"LU0065014192",7.09000000,"2003-05-23"
"LU0065014192",7.10000000,"2003-05-26"
"LU0065014192",7.09000000,"2003-05-27"
"LU0065014192",7.09000000,"2003-05-28"
"LU0065014192",7.12000000,"2003-05-29"
"LU0065014192",7.13000000,"2003-05-30"
"LU0065014192",7.13000000,"2003-05-31"
"LU0065014192",7.16000000,"2003-06-02"
"LU0065014192",7.17000000,"2003-06-03"
"LU0065014192",7.20000000,"2003-06-04"
"LU0065014192",7.22000000,"2003-06-05"
